,step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,agents_total_stopped,agents_total_accumulated_waiting_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,11012,11012,11012,11012,11012,11011,11011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,6705249658,127.5638394,524.5510352,1.121129811,3.55775766,127.5720643,3823.631459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,7.03636E+11,27.50177564,134.1068086,0.222811122,1.033574044,27.4830764,1202.941741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,1250,120,465,1.006423983,3.128958044,120,3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,2500,133,531,1.118265685,3.323721005,133,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,3750,144,601,1.244002179,3.579457966,144,4692.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,7.38382E+13,193,1065,2.126789366,13.94786481,193,6974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
