,step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,agents_total_stopped,agents_total_accumulated_waiting_time
count,28032,28032,28032,28032,28032,28025,28025
mean,3497083.42,32.73939055,143.7676584,0.597211626,8.468582047,32.7470116,290.7537556
std,584321904.7,9.002505146,59.14236678,0.244348252,0.656799346,8.990674412,106.0702436
min,0,0,0,0,0,0,0
25%,1250,28,111,0.469827586,8.158938424,28,246
50%,2500,33,140,0.584313725,8.461383521,33,283
75%,3750,38,170,0.703703704,8.762102832,38,323
max,97831577874,130,1326,22,13.87447999,130,2337
