step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
50.0,15,49.0,0.3602941176470588,8.226418874203715,3,10.0,0.6230539147579482,3,19.0,0.5212179713747421,0,4.0,0.7890210818070476,0,0.0,1.0,0,0.0,0.9740960279384628,0,6.0,0.8275046822173516,1,7.0,0.3375431614142944,0,4.0,0.7798038967664779,1,6.0,0.58892882339337,2,2.0,0.4956687284447004,0,7.0,0.7476397440305793,1,16.0,0.4538104074860249,0,4.0,0.49855069863683676,0,4.0,0.8309369544808481,1,2.0,0.7951986288558568,3,20.0,0.123643420547391,15,111.0
55.0,9,19.0,0.125,8.187168574147343,1,9.0,0.6434510357848483,1,8.0,0.541334930478785,0,8.0,0.7745116025804591,0,0.0,1.0,1,1.0,0.8252619825750231,0,2.0,0.9237468298990775,0,4.0,0.9214120397608333,0,4.0,0.9039175939646326,1,4.0,0.5456113999994958,0,5.0,0.6712305251351929,0,4.0,0.9165913449714739,1,7.0,0.2929531369296334,0,8.0,0.6232892879950449,0,0.0,0.3147496193171019,3,11.0,0.5370788036709888,1,18.0,0.21502084684272152,9,93.0
60.0,23,89.0,0.55625,7.807239950787118,1,6.0,0.7293016801694969,2,12.0,0.6789263795147141,0,4.0,0.7731654158833688,0,0.0,0.5458856863451667,2,8.0,0.6734425983760821,2,2.0,0.14965643492782207,0,4.0,0.8359049563949511,1,1.0,0.33871772163565633,6,28.0,0.36630868827074264,1,7.0,0.5814205858018333,0,0.0,0.5683617787198616,7,38.0,0.38763911223315584,0,8.0,0.7332969051871425,0,0.0,0.34388009773587463,0,6.0,0.43462296747785795,1,14.0,0.3934117295864232,23,138.0
65.0,19,75.0,0.43103448275862066,8.017027751192677,2,2.0,0.5766043866088367,0,4.0,0.8602271782837909,0,2.0,0.8645254494342488,0,0.0,0.7722862508750993,0,3.0,0.4388249002557538,6,24.0,0.0003374734786836704,0,0.0,0.6793853342671605,2,11.0,0.0,5,46.0,0.21560992657737943,0,3.0,0.6614360687097844,2,7.0,0.5912281975593333,1,46.0,0.5772598657017619,0,4.0,0.6882119275113733,0,0.0,0.593354839611069,0,0.0,0.7227736977845671,1,18.0,0.49083398608770024,19,170.0
70.0,26,118.0,0.6344086021505376,7.953815832003187,3,14.0,0.6165486952911069,2,5.0,0.6699462766021885,0,0.0,0.8298420329228613,0,0.0,0.9666870425134213,4,17.0,0.3760113085783274,0,30.0,0.25753323544609874,2,3.0,0.11549899604752742,2,22.0,0.43062214067565546,3,48.0,0.4601681236437163,1,4.0,0.6587495220549985,1,8.0,0.7341931271890481,3,16.0,0.48877350025767613,2,13.0,0.2563164542148259,2,9.0,0.35476977279873306,0,0.0,0.8591327991066384,1,26.0,0.5776139940797594,26,215.0
75.0,32,150.0,0.7978723404255319,7.581991898992299,1,10.0,0.54027580288753,1,4.0,0.47236932108906937,0,0.0,0.9346903438725596,1,1.0,0.6789369443396942,2,20.0,0.4192015868712933,0,16.0,0.6618584545808144,4,25.0,0.2700887771294938,0,1.0,0.881494785633598,2,40.0,0.5091943746350589,1,11.0,0.5470069567438088,1,9.0,0.8212850251752327,7,38.0,0.2533798601828922,8,42.0,0.24800546111776442,2,19.0,0.6341011661406204,1,2.0,0.5256255246924736,1,31.0,0.7441873440217573,32,269.0
80.0,37,181.0,0.8872549019607843,7.943383612837313,2,9.0,0.6296444096690945,1,10.0,0.7941986473360412,2,2.0,0.7363187745300644,5,19.0,0.5371242329978482,5,23.0,0.5697312403342941,2,20.0,0.35071693766191725,0,18.0,0.7319501339391448,0,1.0,0.7857653297924516,7,56.0,0.3270110853858623,2,23.0,0.7694664362431449,0,2.0,0.5304842409268412,3,45.0,0.4022582162682206,3,52.0,0.32028868762466733,0,4.0,0.747017232386055,4,17.0,0.3630402930089373,1,32.0,0.7555608223121091,37,333.0
85.0,28,130.0,0.5909090909090909,7.09283288120854,2,9.0,0.5787127870627239,0,4.0,0.8571912259010622,2,12.0,0.67704833368393,0,22.0,0.3347258271740189,1,27.0,0.47951562621816085,6,41.0,0.00025376569629700956,0,4.0,0.8045637245260164,0,0.0,0.08206173077766929,7,73.0,0.14469697280920613,0,4.0,0.8881716724206741,1,8.0,0.5827458233717686,2,20.0,0.6488816907940308,3,26.0,0.25929635214519137,0,4.0,0.43193732950008845,1,21.0,0.5666710746831037,3,39.0,0.37473098432056107,28,314.0
90.0,29,100.0,0.45454545454545453,6.509479854679904,4,21.0,0.5071549183744188,2,7.0,0.5457702106679446,0,0.0,0.12733657549728533,4,24.0,0.4894914119647884,4,21.0,0.28490953648870254,0,33.0,0.3050767729076667,0,0.0,0.519235379666039,1,9.0,0.38516031568498005,4,80.0,0.3419622062451643,2,5.0,0.6056316919824642,1,6.0,0.734841494354905,2,9.0,0.4579886012581959,2,34.0,0.505095483002287,0,2.0,0.6341826640246112,0,9.0,0.6793456233779378,3,24.0,0.12773798412572976,29,284.0
95.0,33,123.0,0.537117903930131,7.128517959032425,2,20.0,0.5804188815179788,5,29.0,0.39620082058341505,0,4.0,0.33639873726196834,1,26.0,0.6114364824121462,3,34.0,0.3105442958257107,0,21.0,0.6014894222988002,4,13.0,0.25347774883831076,1,6.0,0.5803864517479335,2,76.0,0.45720553443061346,4,25.0,0.38377861900005783,1,11.0,0.8241774815089783,6,31.0,0.24674655772684545,2,37.0,0.6742803024013339,0,4.0,0.7950253636191059,2,10.0,0.4174393236557543,0,14.0,0.4285079907749937,33,361.0
100.0,41,189.0,0.7941176470588235,7.124445050002078,2,9.0,0.6575510541045108,6,57.0,0.5334206885219605,0,4.0,0.6864800094848775,5,30.0,0.3582924043701256,8,48.0,0.450383450437489,0,4.0,0.7357770667124688,0,13.0,0.6315145240248352,1,9.0,0.7965583088303921,7,84.0,0.268942114459647,0,19.0,0.6280061118244483,0,2.0,0.5378865496382962,0,27.0,0.4716680984174927,0,10.0,0.3418600494326521,1,3.0,0.2645326546293686,8,41.0,0.2829678714238199,3,19.0,0.5189114771522827,41,379.0
105.0,35,142.0,0.5916666666666667,7.126485011056738,0,3.0,0.5865780591709334,1,49.0,0.5993846391973219,0,4.0,0.8848241084554292,5,42.0,0.4187238291686535,5,57.0,0.37475662531354204,0,4.0,0.8292660562944625,0,4.0,0.8423020003865413,0,0.0,0.4194948965008152,8,93.0,0.05114796716568534,0,7.0,0.7084401438464293,2,9.0,0.49647069929471016,0,3.0,0.790693405044554,3,13.0,0.22494123975431232,1,16.0,0.4111597157374649,4,51.0,0.45996999571153346,6,45.0,0.4245204986558581,35,400.0
110.0,37,118.0,0.4777327935222672,6.050547947598171,3,11.0,0.6541307890030057,2,6.0,0.4665635323596918,4,11.0,0.49509446875394303,4,46.0,0.2327138224301884,3,49.0,0.23343686197615438,2,12.0,0.31834543716534586,0,0.0,0.25124933447693776,2,13.0,0.3656359170649553,6,103.0,0.12712408880492748,1,5.0,0.48946604202566185,4,23.0,0.6143250630869189,1,5.0,0.32500451499938376,2,18.0,0.48132618094193186,1,21.0,0.6862701293207004,0,38.0,0.5164029699015997,2,48.0,0.13470787912550142,37,409.0
115.0,29,91.0,0.36254980079681276,6.168167949438287,0,5.0,0.6303794928948724,3,15.0,0.336081435899716,0,12.0,0.22723955182950953,7,58.0,0.16724629242667646,3,59.0,0.2579139227969673,2,17.0,0.40518047136823143,0,0.0,0.2934555142701111,1,5.0,0.6277422837638539,3,100.0,0.2944685274996557,3,9.0,0.3292894812210063,0,16.0,0.7112678938867569,4,22.0,0.4672028346337118,2,22.0,0.6624632896869384,0,6.0,0.825333096204031,1,39.0,0.2834351839209285,0,9.0,0.36486621480623943,29,394.0
120.0,57,245.0,0.98,6.48213358175599,3,10.0,0.6106518279967827,5,28.0,0.5516249588601603,2,12.0,0.5177438105360069,8,84.0,0.2361397464273224,10,81.0,0.3085609969315505,0,8.0,0.6925424071062499,0,4.0,0.5179920732031791,1,7.0,0.7048449418804715,1,61.0,0.48546652435742405,5,23.0,0.3708295446930007,2,7.0,0.3994638190899872,4,46.0,0.5346046868022235,5,37.0,0.468577334602042,2,7.0,0.2966440712252727,7,59.0,0.16350649185493418,2,13.0,0.3975500500798337,57,487.0
125.0,50,193.0,0.7310606060606061,6.179845801052803,1,10.0,0.6334292854233238,2,35.0,0.5706744513470585,0,4.0,0.9083234535147916,3,86.0,0.2829445831876293,7,96.0,0.3647395576647214,0,4.0,0.7023448249970872,0,4.0,0.6862972860806195,2,5.0,0.6067570562970735,6,70.0,0.3412195116715621,2,27.0,0.43267330266744314,2,14.0,0.40042756298144605,0,27.0,0.42331835105365945,4,34.0,0.15664836816273175,7,33.0,0.001696579334812247,8,74.0,0.12443093338023854,6,37.0,0.24620703084220988,50,560.0
130.0,50,198.0,0.7360594795539034,5.76587279722175,3,9.0,0.6948356089842468,4,26.0,0.3966667286429975,2,7.0,0.4723475396640587,7,88.0,0.19509812133949858,2,84.0,0.2168092216402325,2,11.0,0.2588084771884808,0,5.0,0.7659047316814596,3,24.0,0.42400754348339015,6,75.0,0.18234676912467926,2,25.0,0.5729232194533105,3,21.0,0.654350752848299,6,26.0,0.48522893955031865,6,29.0,0.18722827052444865,2,47.0,0.2719196600305386,2,75.0,0.3739239275519328,0,39.0,0.4057898121373185,50,591.0
135.0,34,138.0,0.5247148288973384,5.667231723841314,4,26.0,0.5298551889010726,3,26.0,0.31673432633996196,1,11.0,0.08199071735928509,4,95.0,0.20433197646123236,3,94.0,0.21942897265155806,2,21.0,0.3805274092335244,0,1.0,0.8753946002783044,1,14.0,0.39908875865692117,4,79.0,0.12055663119075335,3,30.0,0.42831399536115033,4,40.0,0.6544224364812892,1,28.0,0.4182350870602633,2,43.0,0.4263202512596105,0,8.0,0.7008884181115101,2,64.0,0.4525663040300104,0,4.0,0.6656476539508198,34,584.0
140.0,53,262.0,0.9562043795620438,6.524779864099122,0,18.0,0.5552511478669013,3,21.0,0.49122735284906865,4,28.0,0.21600170241078348,8,105.0,0.07409157656261339,9,125.0,0.3207013715973944,0,10.0,0.6349586492854318,0,5.0,0.5369124030426141,6,27.0,0.2716090342850477,1,79.0,0.36122961814308213,2,23.0,0.3427520439661603,6,61.0,0.4824557651795281,5,23.0,0.5387092858144993,2,41.0,0.6229432520076885,0,6.0,0.8523528633874154,7,85.0,0.324724416821791,0,8.0,0.6036022110352253,53,665.0
145.0,62,327.0,1.1554770318021201,6.072126480458494,1,4.0,0.6807124245912562,4,36.0,0.5821671625030225,2,25.0,0.4557699710409818,8,112.0,0.0559327467515452,9,136.0,0.3336843866477499,3,16.0,0.6113711269454162,0,6.0,0.6021852742026805,3,34.0,0.045999608746594665,7,94.0,0.381244002437905,5,25.0,0.5422512495528046,8,97.0,0.3241096050023645,0,18.0,0.19974042428994854,3,41.0,0.3049235877364855,0,0.0,0.2156359698579512,9,95.0,0.33114633475015004,0,4.0,0.610094825828567,62,743.0
150.0,51,214.0,0.7642857142857142,5.928180722400684,0,2.0,0.6437433148882901,1,27.0,0.6645076556961511,2,21.0,0.6266924741075951,5,108.0,0.25290258069849986,4,132.0,0.1959225225391201,0,12.0,0.38112334040030155,0,4.0,0.7432363220640965,3,41.0,0.35772752274443076,8,97.0,0.16698967803184953,1,25.0,0.5592687578341411,4,91.0,0.3107923790766356,6,16.0,0.0016949031555624648,8,74.0,0.1575637034195945,6,17.0,0.1455275611767943,3,95.0,0.3308832560980795,0,8.0,0.7835340741537868,51,770.0
155.0,44,163.0,0.6037037037037037,5.004715461038342,2,7.0,0.6110974380198603,2,6.0,0.45605433123954375,1,10.0,0.3676986464380797,3,98.0,0.36826729129693964,6,100.0,0.1931152991178596,5,20.0,0.388328163429337,0,4.0,0.3896215256507823,2,32.0,0.6336668810156687,10,111.0,0.07530202697118826,1,15.0,0.34980518987462894,0,20.0,0.6173556456780082,0,29.0,0.3502440553741261,2,61.0,0.3867591634709629,6,51.0,0.2123950276115325,2,99.0,0.1910425195799295,2,12.0,0.3821083800285303,44,675.0
160.0,48,258.0,0.9280575539568345,5.802945917744336,0,5.0,0.6728045266733541,2,21.0,0.37994916288343983,0,2.0,0.28475631287017583,8,105.0,0.16839828095273915,4,111.0,0.35559954917490944,0,25.0,0.5780265965653777,0,8.0,0.7467532181795095,2,31.0,0.4240357283460303,8,131.0,0.2094923384722344,5,26.0,0.40900920663240153,4,30.0,0.5957295099983817,0,8.0,0.7427528298480853,0,23.0,0.6513763683063972,6,85.0,0.41863138485791535,7,121.0,0.14255603401214806,2,19.0,0.40080213331283104,48,751.0
165.0,59,274.0,0.9716312056737588,6.153667373229549,1,5.0,0.7311014174247491,4,23.0,0.5928121961451496,1,5.0,0.18855906259069175,11,121.0,0.034354258864611,7,112.0,0.34939284599483933,4,15.0,0.19714226762554599,0,4.0,0.8507204233429407,1,14.0,0.2622019949426937,8,138.0,0.41065896428686616,2,23.0,0.34991819796404167,7,58.0,0.43924519416515406,0,4.0,0.9043557893261449,0,4.0,0.8117823422067527,0,70.0,0.5873243119548411,11,130.0,0.1449149549034958,2,14.0,0.4222764904197955,59,740.0
170.0,64,282.0,0.9657534246575342,5.8344356465131595,3,17.0,0.5946693927002972,6,44.0,0.608430521767701,6,24.0,0.04182632703022569,8,139.0,0.16037297873734466,8,111.0,0.11376834584818947,2,25.0,0.38990153265349387,0,4.0,0.7789136926143749,3,25.0,0.5085304285016792,5,136.0,0.37884977220900284,4,24.0,0.321659830333225,4,55.0,0.2604728878985506,3,8.0,0.27549386214644334,1,3.0,0.6455217396674021,4,16.0,0.5059359248164765,6,141.0,0.2872964142589332,1,17.0,0.5580453050367061,64,789.0
175.0,45,169.0,0.569023569023569,5.486561160095163,0,9.0,0.6409173124754941,3,43.0,0.4082077252214266,2,39.0,0.30524657873108824,3,132.0,0.29173441618575613,11,127.0,0.10408693152091146,0,21.0,0.6150693964188775,0,4.0,0.3572552475069056,2,17.0,0.5158974902404978,9,105.0,0.20923595019157457,1,26.0,0.5476229551056068,2,18.0,0.4168162923516112,2,18.0,0.20873297982905253,1,8.0,0.6111316283793323,2,22.0,0.35369795627446277,4,128.0,0.28367267046259154,3,20.0,0.3736050427696425,45,737.0
180.0,52,198.0,0.673469387755102,5.375161124020149,1,5.0,0.6234402238032098,7,30.0,0.2681849508218023,0,26.0,0.5985981601000023,9,150.0,0.18699468467565686,4,139.0,0.1793779456603978,2,10.0,0.4039218525736476,0,8.0,0.704886139126397,6,29.0,0.2480426854365104,9,109.0,0.07070619850333879,0,13.0,0.6791667425769451,2,25.0,0.7112314215518053,0,10.0,0.5627243028767487,2,15.0,0.4298220556106368,4,30.0,0.17647401157727963,5,126.0,0.19394202882559144,1,25.0,0.4981220194704209,52,750.0
185.0,75,307.0,1.0336700336700337,5.633870667590739,1,4.0,0.7016549140798891,5,47.0,0.28191093510419024,2,28.0,0.4494913156551433,8,155.0,0.1463142635172008,8,142.0,0.28160307852188593,7,35.0,0.30537374971062714,0,6.0,0.9045494576376881,3,32.0,0.17719714923966448,13,143.0,0.10150146342511669,2,6.0,0.45304033043768793,2,35.0,0.7445467873440134,0,8.0,0.8010636966337591,2,14.0,0.13463458474112047,10,61.0,0.303908113918969,10,142.0,0.13107608462773615,2,11.0,0.4434407009583733,75,869.0
190.0,66,340.0,1.1111111111111112,6.125391896772503,3,11.0,0.7176234693694258,4,39.0,0.6009042066832183,6,47.0,0.012956444891940434,8,162.0,0.22955989218183934,10,150.0,0.23395212331382778,3,40.0,0.3924051114103048,0,4.0,0.8858821262626857,3,37.0,0.5438895100281996,9,171.0,0.3257442659036227,2,8.0,0.30559532009359136,0,4.0,0.49497243374639033,0,4.0,0.8670766993890248,2,19.0,0.699464738058939,4,78.0,0.4134099089513304,12,166.0,0.05989285228704981,0,15.0,0.5904041923297959,66,955.0
195.0,51,217.0,0.725752508361204,5.38232198953284,0,4.0,0.5566295983820106,1,30.0,0.5376856499056502,6,62.0,0.11528218929533736,3,165.0,0.20716620833985308,7,154.0,0.1259314411142325,2,20.0,0.6099958093775256,2,2.0,0.2318835518198864,3,41.0,0.6782494421672874,8,174.0,0.2960458933346521,6,31.0,0.29725787259184855,2,8.0,0.5168243263011729,0,0.0,0.3768903817225248,0,4.0,0.8611103717704413,4,41.0,0.36327479350096337,4,169.0,0.31814775688216607,3,18.0,0.3294050693057599,51,923.0
200.0,66,278.0,0.8996763754045307,5.528358190411145,2,8.0,0.7290132865125906,4,24.0,0.3998369048246553,0,48.0,0.45979294340106946,9,179.0,0.1177013059487474,7,146.0,0.19848530240488058,1,7.0,0.498722913491254,4,21.0,0.21889274918927093,2,22.0,0.2842282282999314,10,162.0,0.14094005322381667,2,38.0,0.4711347460271517,3,24.0,0.620054800094761,6,25.0,0.16719417020266,1,1.0,0.45384761500550636,5,55.0,0.40580008404673695,3,147.0,0.46159624556633105,7,39.0,0.47473116167483354,66,946.0
205.0,69,316.0,0.9968454258675079,5.515493946284564,1,2.0,0.6783749558360276,3,29.0,0.4392057710389357,1,49.0,0.5336547612430041,10,182.0,0.09727468645330122,3,135.0,0.2716233799693587,6,28.0,0.4870161450917163,0,19.0,0.5665810074705308,5,24.0,0.129923015725107,13,182.0,0.08649874440404914,1,27.0,0.6002746441313387,4,42.0,0.5894068448770275,2,38.0,0.3970920958548839,2,4.0,0.05179338750402064,6,72.0,0.22790699107306425,4,127.0,0.25920374983855665,8,77.0,0.5518229491652511,69,1037.0
210.0,80,348.0,1.12987012987013,5.28699371693055,3,11.0,0.6179910077028565,2,17.0,0.6712824637947798,8,70.0,0.25370382679771525,10,192.0,0.22949492036301725,8,132.0,0.3365636857119169,6,56.0,0.28174463142451694,0,8.0,0.7741982814424937,3,34.0,0.28968465339278654,13,211.0,0.22691958536801854,2,18.0,0.35948729444190913,1,32.0,0.4847521993015255,0,8.0,0.7049170921146949,4,30.0,0.3152922561471811,7,80.0,0.30937567782116776,9,156.0,0.1904350707542798,4,73.0,0.13381558890373013,80,1128.0
215.0,64,261.0,0.8338658146964856,5.062746920040073,0,7.0,0.6145351302026801,2,16.0,0.5778884668765388,6,85.0,0.17454863592082628,3,198.0,0.2655704306561743,8,132.0,0.30699812969754736,1,52.0,0.23721888180802436,4,15.0,0.5933294164174201,3,36.0,0.5865721443355346,6,217.0,0.23270990862764648,7,49.0,0.3572060575769067,4,17.0,0.3312393642881789,2,12.0,0.2627162423114424,0,23.0,0.6604603283036962,5,63.0,0.47871843158594535,9,158.0,0.05815928663918842,4,48.0,0.08489952353946985,64,1128.0
