,step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,agents_total_stopped,agents_total_accumulated_waiting_time
count,16032,16033,16033,16033,16033,16027,16027
mean,6.31146E+11,55.8330479,259.2222702,1.425861534,8.511534834,55.85169122,1408.669562
std,7.37957E+13,104.7611808,255.0320276,86.96292895,86.9623643,104.7686699,1954.420691
min,0,0,0,0,0,0,0
25%,1250,15,85,0.424528302,3.424437396,15,136
50%,2500,20,135,0.654822335,9.618757611,20,196
75%,3755,128,497,1.04245283,10.06685521,128,3568
max,9.31513E+15,11012,11012,11012,11012,11011,11011
