step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
320.0,45,1384.0,17.743589743589745,3.046601318901845,45,1808.0,0.10653873177259215,45,1808.0
325.0,52,1483.0,18.308641975308642,1.7453863823321496,52,1981.0,0.05312504517298855,52,1981.0
330.0,46,1679.0,20.228915662650603,2.8075423543509794,46,2168.0,0.13447255695623145,46,2168.0
335.0,47,1757.0,21.426829268292682,2.3195685053600648,47,2331.0,0.1043425916169314,47,2331.0
340.0,56,1786.0,21.261904761904763,1.8441276234700827,56,2406.0,0.055658347776926444,56,2406.0
345.0,54,1903.0,22.127906976744185,2.0015888849896997,54,2667.0,0.06856202528843951,54,2667.0
350.0,59,2161.0,24.556818181818183,1.8217405212711753,59,2947.0,0.0700109203784703,59,2947.0
355.0,61,2288.0,26.6046511627907,1.3058055967783504,61,3115.0,0.0671601397821306,61,3115.0
360.0,61,2329.0,27.4,1.50713706115459,61,3135.0,0.044431905005957506,61,3135.0
365.0,57,1488.0,15.5,2.2218468068086374,57,3056.0,0.08566548238674662,57,3056.0
370.0,47,665.0,7.074468085106383,2.8592009291397877,47,2723.0,0.12906812324232753,47,2723.0
375.0,43,663.0,7.206521739130435,2.288319837949588,43,2706.0,0.09707624915622934,43,2706.0
380.0,53,864.0,9.0,2.103027207678295,53,2753.0,0.07560006012619076,53,2753.0
385.0,56,1053.0,10.96875,1.8046512338464342,56,2776.0,0.06362959491141074,56,2776.0
390.0,52,1266.0,13.612903225806452,1.9775403378919376,52,2571.0,0.07689656508159007,52,2571.0
395.0,60,1529.0,16.440860215053764,2.4410220260755375,60,2589.0,0.06674089622747466,60,2589.0
400.0,73,1854.0,18.727272727272727,2.0954669888730133,73,2861.0,0.042365148044860766,73,2861.0
405.0,68,1853.0,19.71276595744681,2.067737200078885,68,3021.0,0.07054024328546286,68,3021.0
410.0,63,1628.0,17.89010989010989,2.0338428147204093,63,3009.0,0.06858057056732618,63,3009.0
415.0,57,1232.0,13.842696629213483,1.7420495170070498,57,3119.0,0.04909122466263837,57,3119.0
420.0,55,1122.0,13.046511627906977,2.149921143702527,55,3279.0,0.060334510309075794,55,3279.0
425.0,51,1163.0,14.012048192771084,2.125767499569026,51,3371.0,0.0734635489776364,51,3371.0
430.0,48,1358.0,16.5609756097561,2.1891118974293082,48,3292.0,0.05837428512046964,48,3292.0
435.0,46,1276.0,15.19047619047619,1.9273815276576598,46,3345.0,0.06429817221060495,46,3345.0
440.0,41,1002.0,11.788235294117648,2.7456970769721623,41,3125.0,0.11973783243239286,41,3125.0
445.0,33,761.0,9.168674698795181,3.1202437455034344,33,3138.0,0.15145496876389403,33,3138.0
450.0,32,507.0,6.2592592592592595,2.4112061303321086,32,2996.0,0.0940862676322504,32,2996.0
455.0,31,379.0,4.566265060240964,3.1636595574494573,31,2762.0,0.11650812625947855,31,2762.0
460.0,36,528.0,6.36144578313253,3.6128710926735104,36,2635.0,0.14641933406422705,36,2635.0
465.0,34,599.0,7.395061728395062,3.120986381051346,34,2573.0,0.13064013396193488,34,2573.0
470.0,42,639.0,7.607142857142857,2.73653428949315,42,2408.0,0.11281593310461906,42,2408.0
475.0,39,699.0,8.127906976744185,2.834511579487963,39,2501.0,0.14112350062243662,39,2501.0
480.0,33,727.0,8.552941176470588,3.0275804907715167,33,2479.0,0.1580496027406831,33,2479.0
485.0,34,809.0,9.298850574712644,2.9536436338890937,34,2560.0,0.10823724357209777,34,2560.0
490.0,37,621.0,6.9,2.6570485484482824,37,2600.0,0.10221876124862457,37,2600.0
495.0,46,719.0,8.170454545454545,2.7106657526490694,46,2579.0,0.11726977864222024,46,2579.0
500.0,56,936.0,10.285714285714286,1.911803634530193,56,2769.0,0.05993092648019036,56,2769.0
505.0,63,1173.0,12.75,1.5142637791557483,63,3017.0,0.04976758352611241,63,3017.0
510.0,52,1228.0,12.926315789473684,2.3315197390998277,52,3033.0,0.10291312522235066,52,3033.0
515.0,44,1147.0,12.202127659574469,3.046749203815414,44,2814.0,0.1374759084278911,44,2814.0
520.0,41,1036.0,11.511111111111111,2.216587833767439,41,2840.0,0.09182100667819361,41,2840.0
525.0,46,1035.0,11.25,2.214272889276246,46,2987.0,0.07536398420877913,46,2987.0
530.0,49,1062.0,11.8,1.84024747960744,49,3002.0,0.07162249962551828,49,3002.0
535.0,55,1261.0,13.706521739130435,1.90589261258521,55,2842.0,0.05606573782983876,55,2842.0
540.0,52,1346.0,14.791208791208792,2.031986997476531,52,2849.0,0.055591264422794474,52,2849.0
545.0,49,1349.0,14.2,2.310122432491702,49,2977.0,0.09367711884512506,49,2977.0
550.0,44,1385.0,15.054347826086957,3.4548927970781165,44,3037.0,0.1503557659036115,44,3037.0
555.0,40,1367.0,14.858695652173912,2.7931165950275916,40,3040.0,0.12576326677917854,40,3040.0
560.0,42,1390.0,15.617977528089888,2.3428540904408006,42,2738.0,0.09359183821217992,42,2738.0
565.0,48,1514.0,16.106382978723403,2.39853525215018,48,2892.0,0.100355562442846,48,2892.0
570.0,44,1631.0,17.923076923076923,2.293993414707119,44,2961.0,0.09269384569586672,44,2961.0
575.0,39,1729.0,18.591397849462364,2.3374429271730937,39,2959.0,0.0938970901805617,39,2959.0
580.0,42,1855.0,18.55,2.3131619384634807,42,2833.0,0.0891035861244526,42,2833.0
585.0,37,1168.0,11.918367346938776,2.718532319311364,37,2653.0,0.13436224940836453,37,2653.0
590.0,41,636.0,6.489795918367347,2.4335676981878844,41,2310.0,0.12222437231968816,41,2310.0
595.0,47,606.0,6.06,2.0214095374980316,47,2329.0,0.07964472041572837,47,2329.0
600.0,58,722.0,7.148514851485149,1.9104154196778986,58,2386.0,0.061751368098039626,58,2386.0
605.0,60,822.0,8.138613861386139,1.6937868154284554,60,2537.0,0.0608980071454302,60,2537.0
610.0,55,870.0,8.787878787878787,1.7796886183346505,55,2577.0,0.060732068943790435,55,2577.0
615.0,53,891.0,8.91,1.878418800830754,53,2614.0,0.07732893612803797,53,2614.0
620.0,49,908.0,8.901960784313726,2.4522596517870943,49,2477.0,0.12321084950337675,49,2477.0
625.0,49,1017.0,10.069306930693068,1.9177014649902766,49,2536.0,0.07476349878567948,49,2536.0
630.0,63,1249.0,12.12621359223301,1.813306677896438,63,2661.0,0.04435801453537404,63,2661.0
635.0,63,1380.0,13.663366336633663,1.775576103625383,63,2797.0,0.05750235549597995,63,2797.0
640.0,54,1404.0,14.04,2.3896893537536714,54,2777.0,0.08030050114524484,54,2777.0
645.0,50,887.0,9.239583333333334,2.2686312271746596,50,2745.0,0.08906821627331515,50,2745.0
650.0,45,559.0,5.59,2.3331924282347303,45,2601.0,0.0953607595639044,45,2601.0
655.0,51,570.0,5.757575757575758,2.25710120383771,51,2689.0,0.10668276331044808,51,2689.0
660.0,59,701.0,6.9405940594059405,2.0838170866269343,59,2796.0,0.08833788032594242,59,2796.0
665.0,59,850.0,8.415841584158416,1.78628382382509,59,2861.0,0.05090826281996307,59,2861.0
670.0,60,1015.0,10.049504950495049,2.0769895270580108,60,2980.0,0.07153236955191693,60,2980.0
675.0,64,1232.0,12.70103092783505,1.886338628144618,64,3190.0,0.06466165704436865,64,3190.0
680.0,65,1506.0,15.6875,1.644448355847187,65,3356.0,0.04857694761228549,65,3356.0
685.0,63,1449.0,14.49,1.6765563020616596,63,3393.0,0.04853310507295738,63,3393.0
690.0,54,1313.0,13.262626262626263,2.1580372700529424,54,3287.0,0.09814547500476664,54,3287.0
695.0,56,1539.0,15.8659793814433,2.7450261536242473,56,3196.0,0.11858593159793458,56,3196.0
700.0,62,1526.0,15.414141414141413,1.7675593408314212,62,3276.0,0.05273887290207399,62,3276.0
705.0,65,1356.0,13.83673469387755,1.6980308878357246,65,3223.0,0.040906673713468115,65,3223.0
710.0,59,1211.0,13.021505376344086,1.851364436076916,59,3361.0,0.06877575977875587,59,3361.0
715.0,57,1129.0,12.544444444444444,1.8204410808765406,57,3558.0,0.06472060446983524,57,3558.0
720.0,56,1149.0,13.206896551724139,1.4395561391471037,56,3655.0,0.04670037856557204,56,3655.0
725.0,58,1394.0,15.152173913043478,1.9012288610209347,58,3590.0,0.07241188516562744,58,3590.0
730.0,50,1373.0,14.763440860215054,2.3480392833716275,50,3699.0,0.11601147247232804,50,3699.0
735.0,47,1203.0,13.076086956521738,2.137974554867931,47,3651.0,0.07088856540103572,47,3651.0
740.0,42,759.0,8.433333333333334,2.119992368836777,42,3581.0,0.08065201568646425,42,3581.0
745.0,42,535.0,5.944444444444445,2.555655388684394,42,3542.0,0.10454807393665452,42,3542.0
750.0,46,418.0,4.804597701149425,2.050720645144959,46,3679.0,0.07610899223615814,46,3679.0
755.0,63,672.0,7.636363636363637,1.3856313550949557,63,3877.0,0.03386539365213948,63,3877.0
760.0,69,903.0,9.505263157894737,1.4005654239978296,69,4050.0,0.034670579099878744,69,4050.0
765.0,64,1091.0,11.731182795698924,2.2108777554359524,64,4093.0,0.09454919729708877,64,4093.0
770.0,61,1309.0,14.544444444444444,2.6531665201591403,61,4018.0,0.09265245478303047,61,4018.0
775.0,59,1504.0,16.89887640449438,2.9133835556318193,59,3973.0,0.07465855837722604,59,3973.0
780.0,53,1724.0,20.771084337349397,3.632974358494194,53,4051.0,0.1470323031923244,53,4051.0
785.0,49,1660.0,20.24390243902439,3.207053002249371,49,3972.0,0.14559328284410508,49,3972.0
790.0,45,1380.0,17.692307692307693,2.382051265772684,45,3656.0,0.10880434780251409,45,3656.0
795.0,40,1120.0,13.333333333333334,2.391627203067808,40,3630.0,0.10311364384998466,40,3630.0
800.0,37,931.0,10.701149425287356,3.3260023580250118,37,3613.0,0.16445245031997968,37,3613.0
805.0,33,795.0,9.244186046511627,3.7579692825329847,33,3649.0,0.16598214058078678,33,3649.0
810.0,44,981.0,11.147727272727273,3.2536894771790568,44,3789.0,0.12502572159310568,44,3789.0
815.0,45,843.0,9.47191011235955,2.8386692504149895,45,3808.0,0.12225599236371597,45,3808.0
820.0,52,796.0,8.9438202247191,2.633823483520695,52,3690.0,0.11957809676753575,52,3690.0
825.0,56,1008.0,11.325842696629213,1.8902026434137345,56,3937.0,0.06218006208191444,56,3937.0
830.0,58,1257.0,13.516129032258064,1.8239015336130688,58,4188.0,0.060007762494970945,58,4188.0
835.0,58,1486.0,15.479166666666666,2.2647182150806757,58,4379.0,0.10201365073284548,58,4379.0
840.0,56,1743.0,18.54255319148936,2.107050609274048,56,4514.0,0.09343255853698734,56,4514.0
845.0,59,1750.0,18.617021276595743,1.6058336445315273,59,4396.0,0.05183690368760475,59,4396.0
850.0,63,1600.0,16.666666666666668,1.7096409236991519,63,4017.0,0.0518352424489021,63,4017.0
855.0,61,1569.0,16.69148936170213,2.450026928334303,61,3386.0,0.07182366813711062,61,3386.0
860.0,62,1538.0,16.717391304347824,2.57038268623146,62,3049.0,0.07978662363576879,62,3049.0
865.0,60,1592.0,17.494505494505493,3.0030021982063753,60,2797.0,0.11026071236154329,60,2797.0
870.0,60,1882.0,20.236559139784948,3.425966947632217,60,2639.0,0.15445710048763003,60,2639.0
875.0,58,2172.0,23.86813186813187,3.986618042134213,58,2537.0,0.18352671436307183,58,2537.0
880.0,60,2466.0,27.707865168539325,3.0645516592068964,60,2589.0,0.09558166822767024,60,2589.0
885.0,66,2781.0,31.602272727272727,2.885193903416392,66,2904.0,0.08421861632473822,66,2904.0
890.0,60,2877.0,33.84705882352941,2.4748663953833896,60,3109.0,0.08568204079398467,60,3109.0
895.0,59,3093.0,36.82142857142857,2.738015646135497,59,3251.0,0.10857183991352744,59,3251.0
900.0,60,3352.0,39.43529411764706,2.481048894903218,60,3484.0,0.08936699292015278,60,3484.0
905.0,58,3632.0,40.80898876404494,2.7230437677163897,58,3750.0,0.10965270043027771,58,3750.0
910.0,55,3126.0,35.12359550561798,2.7480996151950157,55,3733.0,0.1324474742171819,55,3733.0
915.0,56,2762.0,31.03370786516854,2.4884123906507574,56,3501.0,0.1075518907467998,56,3501.0
920.0,59,2928.0,32.175824175824175,2.7176929796861655,59,3264.0,0.08920669069927138,59,3264.0
925.0,60,2696.0,30.292134831460675,2.0750881009376356,60,3375.0,0.06209394886989327,60,3375.0
930.0,61,2146.0,24.953488372093023,2.045177942721732,61,3306.0,0.06511175244431609,61,3306.0
935.0,53,1614.0,18.988235294117647,1.7365808748839666,53,3536.0,0.05794646826092619,53,3536.0
940.0,43,892.0,9.911111111111111,2.058253913311589,43,3672.0,0.09139356344937222,43,3672.0
945.0,37,353.0,3.8369565217391304,2.6412378995254286,37,3783.0,0.1308728141261683,37,3783.0
950.0,46,460.0,4.8936170212765955,2.301404214194085,46,3881.0,0.08976704973203678,46,3881.0
955.0,51,631.0,6.858695652173913,1.5235953746449467,51,4061.0,0.04203878787970649,51,4061.0
960.0,58,854.0,9.282608695652174,1.6572732222398872,58,4227.0,0.058270297886213476,58,4227.0
965.0,55,885.0,9.619565217391305,1.6165972746739181,55,4339.0,0.054074841611664884,55,4339.0
970.0,55,967.0,10.626373626373626,1.7790117272621941,55,4355.0,0.05235511938651568,55,4355.0
975.0,56,1164.0,12.652173913043478,1.664222222014719,56,4571.0,0.05466747175988488,56,4571.0
980.0,65,1474.0,16.02173913043478,1.8023589834876825,65,4845.0,0.07040177606661624,65,4845.0
985.0,69,1529.0,16.619565217391305,1.5414889066756197,69,4911.0,0.0668247605998082,69,4911.0
990.0,69,1460.0,16.22222222222222,1.2000283471352367,69,4711.0,0.03642096094916815,69,4711.0
995.0,66,1409.0,15.315217391304348,2.380539411722236,66,4257.0,0.054181691153644886,66,4257.0
1000.0,57,1333.0,15.147727272727273,3.15232060264472,57,3909.0,0.10455515712299925,57,3909.0
1005.0,54,1396.0,16.819277108433734,3.433480821157035,54,3544.0,0.11942403118264107,54,3544.0
1010.0,55,1666.0,19.833333333333332,3.430824039188641,55,3188.0,0.13151698316705404,55,3188.0
1015.0,54,1936.0,23.325301204819276,3.7244316229619816,54,2835.0,0.17876501772242262,54,2835.0
1020.0,55,2206.0,26.57831325301205,3.785829777352073,55,2854.0,0.15854679189665674,55,2854.0
1025.0,59,2486.0,30.317073170731707,3.0712468371612993,59,3134.0,0.1002564816201939,59,3134.0
1030.0,59,2780.0,34.32098765432099,2.8492829527488093,59,3428.0,0.10336914048311435,59,3428.0
1035.0,56,2884.0,35.60493827160494,2.7027208019534195,56,3633.0,0.11472594976334147,56,3633.0
1040.0,59,3149.0,39.860759493670884,2.2638690404599826,59,3811.0,0.09223252417445363,59,3811.0
1045.0,61,2962.0,35.26190476190476,2.1832406879449104,61,3876.0,0.07301281715946444,61,3876.0
1050.0,52,2462.0,28.96470588235294,2.714020173945697,52,3726.0,0.12705682607655416,52,3726.0
1055.0,49,2118.0,24.627906976744185,3.348389596342189,49,3371.0,0.15320878591143977,49,3371.0
1060.0,41,1566.0,18.209302325581394,2.9948644160259077,41,3546.0,0.14072675859612951,41,3546.0
1065.0,40,1259.0,14.306818181818182,3.085839609252453,40,3665.0,0.12986658359070405,40,3665.0
1070.0,40,832.0,9.244444444444444,2.7323333665176293,40,3573.0,0.12023780325860808,40,3573.0
1075.0,37,353.0,3.966292134831461,2.0774805047919327,37,3295.0,0.09287549386243865,37,3295.0
1080.0,42,443.0,4.815217391304348,1.9656905991826197,42,3446.0,0.07849852324186637,42,3446.0
1085.0,55,629.0,6.418367346938775,1.9357270929240995,55,3600.0,0.07199656009646746,55,3600.0
1090.0,60,726.0,7.333333333333333,2.1199116085942995,60,3641.0,0.09502192503755948,60,3641.0
1095.0,52,729.0,7.515463917525773,2.021653433332504,52,3456.0,0.08259736928929778,52,3456.0
1100.0,53,791.0,8.154639175257731,2.399220743178437,53,3074.0,0.07794157318972826,53,3074.0
1105.0,49,720.0,7.422680412371134,2.3407740777276045,49,3087.0,0.09602684004465156,49,3087.0
1110.0,47,692.0,7.440860215053763,2.428844603657866,47,2930.0,0.09322356254032783,47,2930.0
1115.0,56,645.0,6.861702127659575,2.115511152481219,56,2918.0,0.07475997492679662,56,2918.0
1120.0,67,895.0,9.04040404040404,1.8343106310705246,67,3050.0,0.05681354058242423,67,3050.0
1125.0,73,1039.0,10.711340206185566,1.968763981115657,73,3272.0,0.07819689196952186,73,3272.0
1130.0,66,1076.0,11.208333333333334,2.093834133797601,66,3376.0,0.06734282408141924,66,3376.0
1135.0,70,1177.0,12.389473684210527,2.1390733280552574,70,3508.0,0.05252160438122512,70,3508.0
1140.0,57,1071.0,11.76923076923077,2.205059414343158,57,3549.0,0.08833783514251563,57,3549.0
1145.0,47,852.0,9.906976744186046,2.498084162437968,47,3282.0,0.11061596458831073,47,3282.0
1150.0,47,860.0,9.772727272727273,2.919356387052781,47,2763.0,0.09874859582005127,47,2763.0
1155.0,46,847.0,9.411111111111111,3.2526160967677438,46,2598.0,0.11794735818736408,46,2598.0
1160.0,41,691.0,7.677777777777778,3.2948360689949956,41,2557.0,0.15896391185752828,41,2557.0
1165.0,47,657.0,7.3,3.116639242981921,47,2437.0,0.14326555233160948,47,2437.0
1170.0,56,696.0,7.733333333333333,1.9111707759178886,56,2581.0,0.06634061715541262,56,2581.0
1175.0,65,990.0,11.123595505617978,1.9423734659573706,65,2748.0,0.05931032750000474,65,2748.0
1180.0,72,1116.0,12.539325842696629,1.4013998450311884,72,2947.0,0.03930046764143163,72,2947.0
1185.0,63,1103.0,12.393258426966293,1.7940066054544332,63,2989.0,0.050319168862406095,63,2989.0
1190.0,60,1123.0,11.946808510638299,2.357977617483615,60,2890.0,0.06008201434919234,60,2890.0
1195.0,54,1005.0,10.806451612903226,2.6975275011453967,54,3013.0,0.11461339572419982,54,3013.0
1200.0,47,835.0,9.597701149425287,2.860835720058668,47,2941.0,0.13694274804244358,47,2941.0
1205.0,48,786.0,8.831460674157304,2.8343953775582005,48,2848.0,0.10405387518546878,48,2848.0
1210.0,46,836.0,9.28888888888889,3.1632639319536464,46,2807.0,0.1202887365028997,46,2807.0
1215.0,44,685.0,7.696629213483146,3.03890526390557,44,2794.0,0.13551691974269994,44,2794.0
1220.0,51,690.0,7.931034482758621,2.6171304086569473,51,2668.0,0.0944220973077352,51,2668.0
1225.0,59,733.0,8.054945054945055,1.8878977036906803,59,2838.0,0.06068593451861715,59,2838.0
1230.0,63,992.0,10.901098901098901,2.185803333282505,63,3001.0,0.07792140806093252,63,3001.0
1235.0,67,1103.0,12.12087912087912,2.4447551686027107,67,3096.0,0.08385097437755482,67,3096.0
1240.0,62,1072.0,12.181818181818182,1.976068068913299,62,2913.0,0.060335836680085846,62,2913.0
1245.0,60,1088.0,11.956043956043956,2.551748958948087,60,2740.0,0.06980123659583425,60,2740.0
1250.0,56,1163.0,13.215909090909092,3.2756208170068017,56,2589.0,0.10573813758622831,56,2589.0
1255.0,52,1254.0,15.292682926829269,3.5702387749554125,52,2548.0,0.13018230007644624,52,2548.0
1260.0,51,1256.0,15.506172839506172,3.082761420231854,51,2553.0,0.1234676361993857,51,2553.0
1265.0,44,1089.0,13.28048780487805,2.8098126715886087,44,2480.0,0.13669202761567892,44,2480.0
1270.0,44,1009.0,12.011904761904763,3.862408976719629,44,2308.0,0.17658914688992822,44,2308.0
1275.0,44,952.0,11.069767441860465,3.8483400286914446,44,2230.0,0.16393932463023994,44,2230.0
1280.0,48,1000.0,11.764705882352942,3.6667991083041227,48,2191.0,0.160323664119846,48,2191.0
1285.0,48,890.0,10.113636363636363,3.3610705110389647,48,2181.0,0.14918095891551186,48,2181.0
1290.0,48,827.0,9.505747126436782,2.764558857853631,48,2097.0,0.10014462607965999,48,2097.0
1295.0,56,848.0,9.74712643678161,1.9954359783630187,56,2181.0,0.06847915006449605,56,2181.0
1300.0,66,1116.0,12.4,1.9299135633235864,66,2346.0,0.056241746284790055,66,2346.0
1305.0,69,1204.0,13.23076923076923,2.2166504701992435,69,2478.0,0.09093160964103189,69,2478.0
1310.0,61,1129.0,12.685393258426966,2.127423745354542,61,2438.0,0.08029703418229468,61,2438.0
1315.0,63,1141.0,12.402173913043478,2.3179578328051305,63,2398.0,0.060422769410519286,63,2398.0
1320.0,55,973.0,10.692307692307692,2.6767350054312193,55,2475.0,0.09657766468321557,55,2475.0
1325.0,46,752.0,8.847058823529412,2.7109993260213545,46,2454.0,0.12098032266846734,46,2454.0
1330.0,48,767.0,8.918604651162791,2.6633162958604233,48,2321.0,0.09498585120210365,48,2321.0
1335.0,44,808.0,9.07865168539326,3.2796253870494256,44,2351.0,0.1286163727670367,44,2351.0
1340.0,41,671.0,7.373626373626373,3.506676929517628,41,2316.0,0.17336952018622268,41,2316.0
1345.0,47,675.0,7.417582417582418,3.213958161465014,47,2236.0,0.15313084408569258,47,2236.0
1350.0,54,710.0,7.888888888888889,1.9251268304809874,54,2377.0,0.06038617124058976,54,2377.0
1355.0,65,1007.0,11.188888888888888,2.0463583985955838,65,2540.0,0.054948278007297534,65,2540.0
1360.0,68,1122.0,12.32967032967033,1.9534271630378142,68,2693.0,0.046618013223207376,68,2693.0
1365.0,66,1100.0,12.359550561797754,1.678844161088616,66,2724.0,0.04470410286320094,66,2724.0
1370.0,60,1115.0,11.989247311827956,2.4202995881284353,60,2599.0,0.056656570818608434,60,2599.0
